CIRCUIT1  Circuit1
INPUT  241 241
INPUT  246 246
INPUT  253 253
INPUT  256 256
INPUT  259 259
INPUT  262 262
INPUT  263 263
INPUT  266 266
INPUT  269 269
INPUT  272 272
INPUT  275 275
INPUT  278 278
INPUT  281 281
INPUT  284 284
INPUT  287 287
INPUT  290 290
INPUT  294 294
INPUT  297 297
INPUT  301 301
INPUT  305 305
INPUT  309 309
INPUT  313 313
INPUT  316 316
INPUT  319 319
INPUT  322 322
INPUT  325 325
INPUT  328 328
INPUT  331 331
INPUT  334 334
INPUT  337 337
INPUT  340 340
INPUT  343 343
INPUT  346 346
INPUT  349 349
INPUT  352 352
INPUT  355 355
OUTPUT  398 398
OUTPUT  400 400
OUTPUT  401 401
OUTPUT  419 419
OUTPUT  420 420
OUTPUT  456 456
OUTPUT  457 457
OUTPUT  458 458
OUTPUT  487 487
OUTPUT  488 488
OUTPUT  489 489
OUTPUT  490 490
OUTPUT  491 491
OUTPUT  492 492
OUTPUT  493 493
OUTPUT  494 494
OUTPUT  792 792
OUTPUT  799 799
OUTPUT  805 805
OUTPUT  1026 1026
OUTPUT  1028 1028
OUTPUT  1029 1029
OUTPUT  1269 1269
OUTPUT  1277 1277
OUTPUT  1448 1448
OUTPUT  1726 1726
OUTPUT  1816 1816
OUTPUT  1817 1817
OUTPUT  1818 1818
OUTPUT  1819 1819
OUTPUT  1820 1820
OUTPUT  1821 1821
OUTPUT  1969 1969
OUTPUT  1970 1970
OUTPUT  1971 1971
OUTPUT  2010 2010
OUTPUT  2012 2012
OUTPUT  2014 2014
OUTPUT  2016 2016
OUTPUT  2018 2018
OUTPUT  2020 2020
OUTPUT  2022 2022
OUTPUT  2387 2387
OUTPUT  2388 2388
OUTPUT  2389 2389
OUTPUT  2390 2390
OUTPUT  2496 2496
OUTPUT  2643 2643
OUTPUT  2644 2644
OUTPUT  2891 2891
OUTPUT  2925 2925
OUTPUT  2970 2970
OUTPUT  2971 2971
OUTPUT  3038 3038
OUTPUT  3079 3079
OUTPUT  3546 3546
OUTPUT  3671 3671
OUTPUT  3803 3803
OUTPUT  3804 3804
OUTPUT  3809 3809
OUTPUT  3851 3851
OUTPUT  3875 3875
OUTPUT  3881 3881
OUTPUT  3882 3882
BUFF 24ns 219  398
BUFF 21ns 219  400
BUFF 18ns 219  401
AND 24ns 1  3  405
NOT 9ns 230  408
BUFF 21ns 253  419
BUFF 24ns 253  420
NOT 6ns 262  425
BUFF 24ns 290  456
BUFF 24ns 290  457
BUFF 21ns 290  458
AND4 45ns 309  305  301  297  485
NOT 9ns 405  486
NOT 9ns 44  487
NOT 6ns 132  488
NOT 6ns 82  489
NOT 9ns 96  490
NOT 9ns 69  491
NOT 9ns 120  492
NOT 6ns 57  493
NOT 6ns 108  494
AND3 42ns 2  15  237  495
BUFF 21ns 237  496
AND 24ns 37  37  499
BUFF 18ns 219  500
BUFF 21ns 8  503
BUFF 24ns 8  506
BUFF 18ns 227  509
BUFF 18ns 234  521
NOT 6ns 241  533
NOT 6ns 246  537
AND 18ns 11  246  543
AND4 42ns 132  82  96  44  544
AND4 48ns 120  57  108  69  547
BUFF 24ns 227  550
BUFF 18ns 234  562
NOT 6ns 256  574
NOT 9ns 259  578
BUFF 21ns 319  582
BUFF 21ns 322  594
NOT 9ns 328  606
NOT 9ns 331  607
NOT 9ns 334  608
NOT 9ns 337  609
NOT 12ns 340  610
NOT 6ns 343  611
NOT 6ns 352  612
BUFF 24ns 319  613
BUFF 18ns 322  625
BUFF 18ns 16  637
BUFF 21ns 16  643
NOT 6ns 355  650
AND 21ns 7  237  651
NOT 9ns 263  655
NOT 6ns 266  659
NOT 6ns 269  663
NOT 6ns 272  667
NOT 12ns 275  671
NOT 9ns 278  675
NOT 9ns 281  679
NOT 9ns 284  683
NOT 9ns 287  687
BUFF 21ns 29  693
BUFF 18ns 29  699
NOT 12ns 294  705
NOT 6ns 297  711
NOT 9ns 301  715
NOT 12ns 305  719
NOT 9ns 309  723
NOT 9ns 313  727
NOT 9ns 316  730
NOT 9ns 346  733
NOT 12ns 349  734
BUFF 21ns 259  735
BUFF 24ns 256  738
BUFF 21ns 263  741
BUFF 24ns 269  744
BUFF 21ns 266  747
BUFF 18ns 275  750
BUFF 21ns 272  753
BUFF 21ns 281  756
BUFF 24ns 278  759
BUFF 21ns 287  762
BUFF 21ns 284  765
BUFF 18ns 294  768
BUFF 24ns 301  771
BUFF 18ns 297  774
BUFF 24ns 309  777
BUFF 18ns 305  780
BUFF 21ns 316  783
BUFF 18ns 313  786
NOT 12ns 485  792
NOT 12ns 495  799
NOT 6ns 499  800
BUFF 18ns 500  805
NAND 12ns 331  606  900
NAND 15ns 328  607  901
NAND 15ns 337  608  902
NAND 12ns 334  609  903
NAND 12ns 343  610  904
NAND 15ns 340  611  905
NAND 9ns 349  733  998
NAND 12ns 346  734  999
AND 18ns 94  500  1026
AND 24ns 325  651  1027
NOT 12ns 651  1028
NAND 9ns 231  651  1029
NOT 12ns 544  1032
NOT 9ns 547  1033
AND 18ns 547  544  1034
BUFF 24ns 503  1037
NOT 9ns 509  1042
NOT 9ns 521  1053
AND3 39ns 80  509  521  1064
AND3 48ns 68  509  521  1065
AND3 45ns 79  509  521  1066
AND3 39ns 78  509  521  1067
AND3 39ns 77  509  521  1068
AND 18ns 11  537  1069
BUFF 18ns 503  1070
NOT 6ns 550  1075
NOT 9ns 562  1086
AND3 45ns 76  550  562  1097
AND3 48ns 75  550  562  1098
AND3 39ns 74  550  562  1099
AND3 42ns 73  550  562  1100
AND3 42ns 72  550  562  1101
NOT 9ns 582  1102
NOT 12ns 594  1113
AND3 42ns 114  582  594  1124
AND3 42ns 113  582  594  1125
AND3 39ns 112  582  594  1126
AND3 42ns 111  582  594  1127
AND 24ns 582  594  1128
NAND 15ns 900  901  1129
NAND 9ns 902  903  1133
NAND 15ns 904  905  1137
NOT 9ns 741  1140
NAND 12ns 741  612  1141
NOT 9ns 744  1142
NOT 9ns 747  1143
NOT 9ns 750  1144
NOT 9ns 753  1145
NOT 9ns 613  1146
NOT 9ns 625  1157
AND3 42ns 118  613  625  1168
AND3 42ns 107  613  625  1169
AND3 39ns 117  613  625  1170
AND3 42ns 116  613  625  1171
AND3 45ns 115  613  625  1172
NOT 9ns 637  1173
NOT 12ns 643  1178
NOT 9ns 768  1184
NAND 12ns 768  650  1185
NOT 9ns 771  1186
NOT 12ns 774  1187
NOT 9ns 777  1188
NOT 12ns 780  1189
BUFF 21ns 506  1190
BUFF 18ns 506  1195
NOT 9ns 693  1200
NOT 6ns 699  1205
NOT 9ns 735  1210
NOT 9ns 738  1211
NOT 6ns 756  1212
NOT 9ns 759  1213
NOT 9ns 762  1214
NOT 9ns 765  1215
NAND 12ns 998  999  1216
BUFF 21ns 574  1219
BUFF 18ns 578  1222
BUFF 24ns 655  1225
BUFF 24ns 659  1228
BUFF 24ns 663  1231
BUFF 24ns 667  1234
BUFF 24ns 671  1237
BUFF 24ns 675  1240
BUFF 21ns 679  1243
BUFF 18ns 683  1246
NOT 6ns 783  1249
NOT 9ns 786  1250
BUFF 21ns 687  1251
BUFF 24ns 705  1254
BUFF 21ns 711  1257
BUFF 24ns 715  1260
BUFF 21ns 719  1263
BUFF 21ns 723  1266
NOT 12ns 1027  1269
AND 18ns 325  1032  1275
AND 21ns 231  1033  1276
BUFF 21ns 1034  1277
OR 21ns 1069  543  1302
NAND 12ns 352  1140  1351
NAND 15ns 747  1142  1352
NAND 12ns 744  1143  1353
NAND 12ns 753  1144  1354
NAND 12ns 750  1145  1355
NAND 12ns 355  1184  1395
NAND 15ns 774  1186  1396
NAND 9ns 771  1187  1397
NAND 12ns 780  1188  1398
NAND 12ns 777  1189  1399
NAND 15ns 738  1210  1422
NAND 9ns 735  1211  1423
NAND 15ns 759  1212  1424
NAND 15ns 756  1213  1425
NAND 15ns 765  1214  1426
NAND 9ns 762  1215  1427
NAND 15ns 786  1249  1440
NAND 12ns 783  1250  1441
NOT 12ns 1034  1448
NOT 12ns 1275  1449
NOT 12ns 1276  1450
AND3 48ns 93  1042  1053  1451
AND3 36ns 55  509  1053  1452
AND3 42ns 67  1042  521  1453
AND3 39ns 81  1042  1053  1454
AND3 42ns 43  509  1053  1455
AND3 36ns 56  1042  521  1456
AND3 42ns 92  1042  1053  1457
AND3 48ns 54  509  1053  1458
AND3 42ns 66  1042  521  1459
AND3 45ns 91  1042  1053  1460
AND3 36ns 53  509  1053  1461
AND3 48ns 65  1042  521  1462
AND3 42ns 90  1042  1053  1463
AND3 48ns 52  509  1053  1464
AND3 42ns 64  1042  521  1465
AND3 45ns 89  1075  1086  1466
AND3 45ns 51  550  1086  1467
AND3 45ns 63  1075  562  1468
AND3 45ns 88  1075  1086  1469
AND3 45ns 50  550  1086  1470
AND3 36ns 62  1075  562  1471
AND3 48ns 87  1075  1086  1472
AND3 45ns 49  550  1086  1473
AND 21ns 1075  562  1474
AND3 36ns 86  1075  1086  1475
AND3 42ns 48  550  1086  1476
AND3 42ns 61  1075  562  1477
AND3 45ns 85  1075  1086  1478
AND3 39ns 47  550  1086  1479
AND3 45ns 60  1075  562  1480
AND3 42ns 138  1102  1113  1481
AND3 39ns 102  582  1113  1482
AND3 42ns 126  1102  594  1483
AND3 42ns 137  1102  1113  1484
AND3 36ns 101  582  1113  1485
AND3 36ns 125  1102  594  1486
AND3 42ns 136  1102  1113  1487
AND3 45ns 100  582  1113  1488
AND3 42ns 124  1102  594  1489
AND3 42ns 135  1102  1113  1490
AND3 42ns 99  582  1113  1491
AND3 42ns 123  1102  594  1492
AND 21ns 1102  1113  1493
AND 24ns 582  1113  1494
AND 21ns 1102  594  1495
NOT 6ns 1129  1496
NOT 9ns 1133  1499
NAND 9ns 1351  1141  1502
NAND 15ns 1352  1353  1506
NAND 15ns 1354  1355  1510
BUFF 24ns 1137  1513
BUFF 18ns 1137  1516
NOT 9ns 1219  1519
NOT 12ns 1222  1520
NOT 6ns 1225  1521
NOT 12ns 1228  1522
NOT 12ns 1231  1523
NOT 9ns 1234  1524
NOT 9ns 1237  1525
NOT 9ns 1240  1526
NOT 9ns 1243  1527
NOT 12ns 1246  1528
AND3 42ns 142  1146  1157  1529
AND3 42ns 106  613  1157  1530
AND3 42ns 130  1146  625  1531
AND3 42ns 131  1146  1157  1532
AND3 48ns 95  613  1157  1533
AND3 39ns 119  1146  625  1534
AND3 39ns 141  1146  1157  1535
AND3 45ns 105  613  1157  1536
AND3 39ns 129  1146  625  1537
AND3 42ns 140  1146  1157  1538
AND3 36ns 104  613  1157  1539
AND3 42ns 128  1146  625  1540
AND3 42ns 139  1146  1157  1541
AND3 45ns 103  613  1157  1542
AND3 45ns 127  1146  625  1543
AND 24ns 19  1173  1544
AND 18ns 4  1173  1545
AND 21ns 20  1173  1546
AND 24ns 5  1173  1547
AND 24ns 21  1178  1548
AND 21ns 22  1178  1549
AND 21ns 23  1178  1550
AND 18ns 6  1178  1551
AND 21ns 24  1178  1552
NAND 12ns 1395  1185  1553
NAND 9ns 1396  1397  1557
NAND 15ns 1398  1399  1561
AND 18ns 25  1200  1564
AND 21ns 32  1200  1565
AND 21ns 26  1200  1566
AND 24ns 33  1200  1567
AND 18ns 27  1205  1568
AND 18ns 34  1205  1569
AND 21ns 35  1205  1570
AND 21ns 28  1205  1571
NOT 12ns 1251  1572
NOT 9ns 1254  1573
NOT 9ns 1257  1574
NOT 12ns 1260  1575
NOT 9ns 1263  1576
NOT 9ns 1266  1577
NAND 12ns 1422  1423  1578
NOT 6ns 1216  1581
NAND 12ns 1426  1427  1582
NAND 12ns 1424  1425  1585
NAND 15ns 1440  1441  1588
AND 24ns 1449  1450  1591
OR4 54ns 1451  1452  1453  1064  1596
OR4 45ns 1454  1455  1456  1065  1600
OR4 51ns 1457  1458  1459  1066  1606
OR4 54ns 1460  1461  1462  1067  1612
OR4 54ns 1463  1464  1465  1068  1615
OR4 45ns 1466  1467  1468  1097  1619
OR4 51ns 1469  1470  1471  1098  1624
OR4 51ns 1472  1473  1474  1099  1628
OR4 54ns 1475  1476  1477  1100  1631
OR4 54ns 1478  1479  1480  1101  1634
OR4 48ns 1481  1482  1483  1124  1637
OR4 54ns 1484  1485  1486  1125  1642
OR4 54ns 1487  1488  1489  1126  1647
OR4 54ns 1490  1491  1492  1127  1651
OR4 60ns 1493  1494  1495  1128  1656
OR4 48ns 1532  1533  1534  1169  1676
OR4 57ns 1535  1536  1537  1170  1681
OR4 57ns 1538  1539  1540  1171  1686
OR4 45ns 1541  1542  1543  1172  1690
OR4 54ns 1529  1530  1531  1168  1708
BUFF 21ns 1591  1726
NOT 9ns 1502  1770
NOT 12ns 1506  1773
NOT 9ns 1513  1776
NOT 9ns 1516  1777
BUFF 24ns 1510  1778
BUFF 24ns 1510  1781
AND3 36ns 1133  1129  1513  1784
AND3 48ns 1499  1496  1516  1785
NOT 9ns 1553  1795
NOT 9ns 1557  1798
BUFF 18ns 1561  1801
BUFF 24ns 1561  1804
NOT 9ns 1588  1807
NOT 12ns 1578  1808
NAND 12ns 1578  1581  1809
NOT 9ns 1582  1810
NOT 6ns 1585  1811
AND 21ns 1596  241  1813
AND 18ns 1606  241  1814
AND 21ns 1600  241  1815
NOT 12ns 1642  1816
NOT 9ns 1647  1817
NOT 9ns 1637  1818
NOT 9ns 1624  1819
NOT 9ns 1619  1820
NOT 12ns 1615  1821
AND4 48ns 496  224  36  1591  1822
AND4 42ns 496  224  1591  486  1823
BUFF 18ns 1596  1824
NOT 12ns 1606  1827
AND 18ns 1600  537  1830
AND 21ns 1606  537  1831
AND 21ns 1619  246  1832
NOT 12ns 1596  1833
NOT 6ns 1600  1836
NOT 6ns 1606  1841
BUFF 21ns 1612  1848
BUFF 18ns 1615  1852
BUFF 24ns 1619  1856
BUFF 21ns 1624  1863
BUFF 18ns 1628  1870
BUFF 24ns 1631  1875
BUFF 21ns 1634  1880
NAND 9ns 727  1651  1885
NAND 15ns 730  1656  1888
BUFF 21ns 1686  1891
AND 21ns 1637  425  1894
NOT 12ns 1642  1897
AND3 42ns 1496  1133  1776  1908
AND3 42ns 1129  1499  1777  1909
AND 24ns 1600  637  1910
AND 21ns 1606  637  1911
AND 18ns 1612  637  1912
AND 21ns 1615  637  1913
AND 24ns 1619  643  1914
AND 24ns 1624  643  1915
AND 21ns 1628  643  1916
AND 18ns 1631  643  1917
AND 18ns 1634  643  1918
NOT 9ns 1708  1919
AND 21ns 1676  693  1928
AND 18ns 1681  693  1929
AND 24ns 1686  693  1930
AND 18ns 1690  693  1931
AND 18ns 1637  699  1932
AND 21ns 1642  699  1933
AND 21ns 1647  699  1934
AND 21ns 1651  699  1935
BUFF 21ns 1600  1936
NAND 9ns 1216  1808  1939
NAND 15ns 1585  1810  1940
NAND 15ns 1582  1811  1941
BUFF 24ns 1676  1942
BUFF 18ns 1686  1945
BUFF 18ns 1681  1948
BUFF 21ns 1637  1951
BUFF 24ns 1690  1954
BUFF 21ns 1647  1957
BUFF 24ns 1642  1960
BUFF 21ns 1656  1963
BUFF 21ns 1651  1966
OR 18ns 533  1815  1969
NOT 6ns 1822  1970
NOT 9ns 1823  1971
BUFF 24ns 1848  2010
BUFF 21ns 1852  2012
BUFF 18ns 1856  2014
BUFF 18ns 1863  2016
BUFF 24ns 1870  2018
BUFF 21ns 1875  2020
BUFF 18ns 1880  2022
NOT 6ns 1778  2028
NOT 9ns 1781  2029
NOR 27ns 1908  1784  2030
NOR 27ns 1909  1785  2031
AND3 42ns 1506  1502  1778  2032
AND3 42ns 1773  1770  1781  2033
OR 24ns 1571  1935  2034
NOT 9ns 1801  2040
NOT 6ns 1804  2041
AND3 42ns 1557  1553  1801  2042
AND3 39ns 1798  1795  1804  2043
NAND 15ns 1939  1809  2046
NAND 9ns 1940  1941  2049
OR 21ns 1544  1910  2052
OR 21ns 1545  1911  2055
OR 18ns 1546  1912  2058
OR 27ns 1547  1913  2061
OR 27ns 1548  1914  2064
OR 24ns 1549  1915  2067
OR 18ns 1550  1916  2070
OR 30ns 1551  1917  2073
OR 24ns 1552  1918  2076
OR 27ns 1564  1928  2079
OR 18ns 1565  1929  2095
OR 24ns 1566  1930  2098
OR 18ns 1567  1931  2101
OR 18ns 1568  1932  2104
OR 27ns 1569  1933  2107
OR 24ns 1570  1934  2110
AND3 42ns 1897  1894  40  2113
NOT 9ns 1894  2119
NAND 9ns 408  1827  2120
AND 21ns 1824  537  2125
AND 18ns 1852  246  2126
AND 21ns 1848  537  2127
NOT 9ns 1848  2128
NOT 6ns 1852  2135
NOT 9ns 1863  2141
NOT 6ns 1870  2144
NOT 9ns 1875  2147
NOT 9ns 1880  2150
AND 18ns 727  1885  2153
AND 24ns 1885  1651  2154
AND 24ns 730  1888  2155
AND 18ns 1888  1656  2156
AND3 48ns 1770  1506  2028  2157
AND3 48ns 1502  1773  2029  2158
NOT 9ns 1942  2171
NAND 15ns 1942  1919  2172
NOT 6ns 1945  2173
NOT 9ns 1948  2174
NOT 9ns 1951  2175
NOT 12ns 1954  2176
AND3 42ns 1795  1557  2040  2177
AND3 48ns 1553  1798  2041  2178
BUFF 24ns 1836  2185
BUFF 24ns 1833  2188
BUFF 21ns 1841  2191
NOT 9ns 1856  2194
NOT 9ns 1827  2197
NOT 9ns 1936  2200
BUFF 24ns 1836  2201
BUFF 21ns 1833  2204
BUFF 18ns 1841  2207
BUFF 21ns 1824  2210
BUFF 24ns 1841  2213
BUFF 21ns 1841  2216
NAND 9ns 2031  2030  2219
NOT 9ns 1957  2234
NOT 9ns 1960  2235
NOT 9ns 1963  2236
NOT 9ns 1966  2237
AND3 39ns 40  1897  2119  2250
OR 24ns 1831  2126  2266
OR 30ns 2127  1832  2269
OR 27ns 2153  2154  2291
OR 18ns 2155  2156  2294
NOR 24ns 2157  2032  2297
NOR 21ns 2158  2033  2298
NOT 9ns 2046  2300
NOT 9ns 2049  2301
NAND 12ns 2052  1519  2302
NOT 9ns 2052  2303
NAND 9ns 2055  1520  2304
NOT 6ns 2055  2305
NAND 9ns 2058  1521  2306
NOT 9ns 2058  2307
NAND 9ns 2061  1522  2308
NOT 9ns 2061  2309
NAND 12ns 2064  1523  2310
NOT 9ns 2064  2311
NAND 12ns 2067  1524  2312
NOT 9ns 2067  2313
NAND 9ns 2070  1525  2314
NOT 6ns 2070  2315
NAND 12ns 2073  1526  2316
NOT 9ns 2073  2317
NAND 9ns 2076  1527  2318
NOT 6ns 2076  2319
NAND 15ns 2079  1528  2320
NOT 12ns 2079  2321
NAND 12ns 1708  2171  2322
NAND 12ns 1948  2173  2323
NAND 15ns 1945  2174  2324
NAND 9ns 1954  2175  2325
NAND 9ns 1951  2176  2326
NOR 24ns 2177  2042  2327
NOR 21ns 2178  2043  2328
NAND 15ns 2095  1572  2329
NOT 9ns 2095  2330
NAND 12ns 2098  1573  2331
NOT 6ns 2098  2332
NAND 12ns 2101  1574  2333
NOT 12ns 2101  2334
NAND 15ns 2104  1575  2335
NOT 6ns 2104  2336
NAND 12ns 2107  1576  2337
NOT 9ns 2107  2338
NAND 9ns 2110  1577  2339
NOT 9ns 2110  2340
NAND 9ns 1960  2234  2354
NAND 12ns 1957  2235  2355
NAND 12ns 1966  2236  2356
NAND 15ns 1963  2237  2357
AND 18ns 2120  533  2358
NOT 9ns 2113  2359
NOT 6ns 2185  2364
NOT 6ns 2188  2365
NOT 9ns 2191  2366
NOT 9ns 2194  2367
BUFF 24ns 2120  2368
NOT 9ns 2201  2372
NOT 9ns 2204  2373
NOT 9ns 2207  2374
NOT 6ns 2210  2375
NOT 9ns 2213  2376
NOT 9ns 2113  2377
BUFF 21ns 2113  2382
AND 21ns 2120  246  2386
BUFF 18ns 2266  2387
BUFF 24ns 2266  2388
BUFF 24ns 2269  2389
BUFF 21ns 2269  2390
BUFF 21ns 2113  2391
NOT 12ns 2113  2395
NAND 12ns 2219  2300  2400
NOT 12ns 2216  2403
NOT 9ns 2219  2406
NAND 15ns 1219  2303  2407
NAND 15ns 1222  2305  2408
NAND 9ns 1225  2307  2409
NAND 15ns 1228  2309  2410
NAND 9ns 1231  2311  2411
NAND 12ns 1234  2313  2412
NAND 12ns 1237  2315  2413
NAND 15ns 1240  2317  2414
NAND 12ns 1243  2319  2415
NAND 9ns 1246  2321  2416
NAND 12ns 2322  2172  2417
NAND 12ns 2323  2324  2421
NAND 15ns 2325  2326  2425
NAND 9ns 1251  2330  2428
NAND 12ns 1254  2332  2429
NAND 12ns 1257  2334  2430
NAND 15ns 1260  2336  2431
NAND 15ns 1263  2338  2432
NAND 15ns 1266  2340  2433
BUFF 21ns 2128  2434
BUFF 21ns 2135  2437
BUFF 21ns 2144  2440
BUFF 18ns 2141  2443
BUFF 21ns 2150  2446
BUFF 18ns 2147  2449
NOT 12ns 2197  2452
NAND 12ns 2197  2200  2453
BUFF 18ns 2128  2454
BUFF 18ns 2144  2457
BUFF 18ns 2141  2460
BUFF 21ns 2150  2463
BUFF 18ns 2147  2466
NOT 12ns 2120  2469
BUFF 24ns 2128  2472
BUFF 21ns 2135  2475
BUFF 18ns 2128  2478
BUFF 24ns 2135  2481
NAND 9ns 2298  2297  2484
NAND 15ns 2356  2357  2487
NAND 12ns 2354  2355  2490
NAND 9ns 2328  2327  2493
OR 18ns 2358  1814  2496
NAND 15ns 2188  2364  2503
NAND 15ns 2185  2365  2504
NAND 15ns 2204  2372  2510
NAND 9ns 2201  2373  2511
OR 24ns 1830  2386  2521
NAND 9ns 2046  2406  2528
NOT 9ns 2291  2531
NOT 9ns 2294  2534
BUFF 21ns 2250  2537
BUFF 24ns 2250  2540
NAND 15ns 2302  2407  2544
NAND 12ns 2304  2408  2545
NAND 15ns 2306  2409  2546
NAND 9ns 2308  2410  2547
NAND 15ns 2310  2411  2548
NAND 9ns 2312  2412  2549
NAND 15ns 2314  2413  2550
NAND 9ns 2316  2414  2551
NAND 15ns 2318  2415  2552
NAND 12ns 2320  2416  2553
NAND 9ns 2329  2428  2563
NAND 12ns 2331  2429  2564
NAND 12ns 2333  2430  2565
NAND 9ns 2335  2431  2566
NAND 15ns 2337  2432  2567
NAND 15ns 2339  2433  2568
NAND 15ns 1936  2452  2579
BUFF 21ns 2359  2603
AND 18ns 1880  2377  2607
AND 18ns 1676  2377  2608
AND 21ns 1681  2377  2609
AND 24ns 1891  2377  2610
AND 21ns 1856  2382  2611
AND 24ns 1863  2382  2612
NAND 12ns 2503  2504  2613
NOT 9ns 2434  2617
NAND 15ns 2434  2366  2618
NAND 12ns 2437  2367  2619
NOT 6ns 2437  2620
NOT 9ns 2368  2621
NAND 15ns 2510  2511  2624
NOT 12ns 2454  2628
NAND 15ns 2454  2374  2629
NOT 9ns 2472  2630
AND 21ns 1856  2391  2631
AND 24ns 1863  2391  2632
AND 21ns 1880  2395  2633
AND 21ns 1676  2395  2634
AND 21ns 1681  2395  2635
AND 21ns 1891  2395  2636
NOT 9ns 2382  2638
BUFF 21ns 2521  2643
BUFF 21ns 2521  2644
NOT 12ns 2475  2645
NOT 9ns 2391  2646
NAND 12ns 2528  2400  2652
NOT 6ns 2478  2655
NOT 6ns 2481  2656
BUFF 18ns 2359  2659
NOT 9ns 2484  2663
NAND 12ns 2484  2301  2664
NOT 9ns 2553  2665
NOT 9ns 2552  2666
NOT 9ns 2551  2667
NOT 9ns 2550  2668
NOT 6ns 2549  2669
NOT 9ns 2548  2670
NOT 9ns 2547  2671
NOT 9ns 2546  2672
NOT 12ns 2545  2673
NOT 9ns 2544  2674
NOT 12ns 2568  2675
NOT 9ns 2567  2676
NOT 12ns 2566  2677
NOT 9ns 2565  2678
NOT 12ns 2564  2679
NOT 9ns 2563  2680
NOT 9ns 2417  2681
NOT 9ns 2421  2684
BUFF 21ns 2425  2687
BUFF 21ns 2425  2690
NOT 9ns 2493  2693
NAND 12ns 2493  1807  2694
NOT 9ns 2440  2695
NOT 6ns 2443  2696
NOT 9ns 2446  2697
NOT 6ns 2449  2698
NOT 9ns 2457  2699
NOT 9ns 2460  2700
NOT 9ns 2463  2701
NOT 12ns 2466  2702
NAND 9ns 2579  2453  2703
NOT 9ns 2469  2706
NOT 6ns 2487  2707
NOT 9ns 2490  2708
AND 21ns 2294  2534  2709
