CIRCUIT1  Circuit1
NOT 6ns 343  534
NOT 12ns 346  535
NOT 12ns 349  536
NOT 12ns 352  537
NOT 9ns 355  538
NOT 12ns 358  539
NOT 9ns 361  540
NOT 12ns 364  541
NOT 6ns 367  542
NOT 12ns 370  543
NOT 12ns 373  544
NOT 9ns 376  545
NOT 9ns 379  546
NOT 6ns 382  547
NOT 6ns 385  548
NOT 9ns 388  549
NAND 9ns 306  331  550
NAND 12ns 306  331  551
NAND 12ns 306  331  552
NAND 12ns 306  331  553
NAND 9ns 306  331  554
NAND 15ns 306  331  555
BUFF 24ns 190  556
BUFF 21ns 194  559
BUFF 21ns 206  562
BUFF 21ns 209  565
BUFF 18ns 225  568
BUFF 24ns 243  571
AND 21ns 63  319  574
BUFF 24ns 220  577
BUFF 21ns 229  580
BUFF 18ns 232  583
AND 18ns 66  319  586
BUFF 18ns 239  589
AND3 36ns 49  253  319  592
BUFF 21ns 247  595
BUFF 21ns 239  598
NAND 12ns 326  277  601
NAND 12ns 326  280  602
NAND 15ns 260  72  603
NAND 15ns 260  300  608
NAND 9ns 256  300  612
BUFF 18ns 201  616
BUFF 18ns 216  619
BUFF 21ns 220  622
BUFF 18ns 239  625
BUFF 21ns 190  628
BUFF 21ns 190  631
BUFF 21ns 194  634
BUFF 21ns 229  637
BUFF 24ns 197  640
AND3 39ns 56  257  319  643
BUFF 21ns 232  646
BUFF 24ns 201  649
BUFF 18ns 235  652
AND3 45ns 60  257  319  655
BUFF 21ns 263  658
BUFF 18ns 263  661
BUFF 21ns 266  664
BUFF 24ns 266  667
BUFF 24ns 269  670
BUFF 21ns 269  673
BUFF 24ns 272  676
BUFF 21ns 272  679
AND 24ns 251  316  682
AND 24ns 252  316  685
BUFF 18ns 197  688
BUFF 24ns 197  691
BUFF 24ns 212  694
BUFF 18ns 212  697
BUFF 21ns 247  700
BUFF 18ns 247  703
BUFF 21ns 235  706
BUFF 21ns 235  709
BUFF 24ns 201  712
BUFF 21ns 201  715
BUFF 21ns 206  718
BUFF 24ns 216  721
AND3 42ns 53  253  319  724
BUFF 18ns 243  727
BUFF 21ns 220  730
BUFF 24ns 220  733
BUFF 24ns 209  736
BUFF 21ns 216  739
BUFF 21ns 225  742
BUFF 18ns 243  745
BUFF 21ns 212  748
BUFF 18ns 225  751
NOT 9ns 682  886
NOT 9ns 685  887
NOT 6ns 616  888
NOT 9ns 619  889
NOT 6ns 622  890
NOT 9ns 625  891
NOT 9ns 631  892
NOT 12ns 643  893
NOT 12ns 649  894
NOT 12ns 652  895
NOT 12ns 655  896
AND 24ns 49  612  897
AND 21ns 56  608  898
NAND 15ns 53  612  899
NAND 15ns 60  608  903
NAND 12ns 49  612  907
NAND 15ns 56  608  910
NOT 9ns 661  913
NOT 6ns 658  914
NOT 6ns 667  915
NOT 6ns 664  916
NOT 6ns 673  917
NOT 12ns 670  918
NOT 9ns 679  919
NOT 9ns 676  920
NAND4 36ns 277  297  326  603  921
NAND4 45ns 280  297  326  603  922
NAND3 21ns 303  338  603  923
AND3 39ns 303  338  603  926
BUFF 21ns 556  935
NOT 6ns 688  938
BUFF 18ns 556  939
NOT 9ns 691  942
BUFF 21ns 562  943
NOT 9ns 694  946
BUFF 21ns 562  947
NOT 9ns 697  950
BUFF 24ns 568  951
NOT 6ns 700  954
BUFF 18ns 568  955
NOT 9ns 703  958
BUFF 24ns 574  959
BUFF 24ns 574  962
BUFF 21ns 580  965
NOT 12ns 706  968
BUFF 24ns 580  969
NOT 12ns 709  972
BUFF 18ns 586  973
NOT 6ns 712  976
BUFF 21ns 586  977
NOT 9ns 715  980
BUFF 21ns 592  981
NOT 9ns 628  984
BUFF 21ns 592  985
NOT 9ns 718  988
NOT 6ns 721  989
NOT 9ns 634  990
NOT 12ns 724  991
NOT 9ns 727  992
NOT 6ns 637  993
BUFF 21ns 595  994
NOT 9ns 730  997
BUFF 24ns 595  998
NOT 12ns 733  1001
NOT 9ns 736  1002
NOT 9ns 739  1003
NOT 9ns 640  1004
NOT 9ns 742  1005
NOT 9ns 745  1006
NOT 9ns 646  1007
NOT 9ns 748  1008
NOT 9ns 751  1009
BUFF 24ns 559  1010
BUFF 21ns 559  1013
BUFF 21ns 565  1016
BUFF 21ns 565  1019
BUFF 21ns 571  1022
BUFF 21ns 571  1025
BUFF 24ns 577  1028
BUFF 18ns 577  1031
BUFF 24ns 583  1034
BUFF 21ns 583  1037
BUFF 21ns 589  1040
BUFF 24ns 589  1043
BUFF 21ns 598  1046
BUFF 21ns 598  1049
NAND 9ns 619  888  1054
NAND 12ns 616  889  1055
NAND 12ns 625  890  1063
NAND 12ns 622  891  1064
NAND 9ns 655  895  1067
NAND 12ns 652  896  1068
NAND 15ns 721  988  1119
NAND 15ns 718  989  1120
NAND 15ns 727  991  1121
NAND 15ns 724  992  1122
NAND 15ns 739  1002  1128
NAND 9ns 736  1003  1129
NAND 9ns 745  1005  1130
NAND 9ns 742  1006  1131
NAND 9ns 751  1008  1132
NAND 12ns 748  1009  1133
NOT 9ns 939  1148
NOT 9ns 935  1149
NAND 15ns 1054  1055  1150
NOT 6ns 943  1151
NOT 9ns 947  1152
NOT 9ns 955  1153
NOT 6ns 951  1154
NOT 9ns 962  1155
NOT 12ns 969  1156
NOT 12ns 977  1157
NAND 15ns 1063  1064  1158
NOT 9ns 985  1159
NAND 9ns 985  892  1160
NOT 9ns 998  1161
NAND 15ns 1067  1068  1162
NOT 12ns 899  1163
BUFF 18ns 899  1164
NOT 9ns 903  1167
BUFF 21ns 903  1168
NAND 12ns 921  923  1171
NAND 12ns 922  923  1188
NOT 9ns 1010  1205
NAND 12ns 1010  938  1206
NOT 6ns 1013  1207
NAND 12ns 1013  942  1208
NOT 9ns 1016  1209
NAND 12ns 1016  946  1210
NOT 6ns 1019  1211
NAND 15ns 1019  950  1212
NOT 9ns 1022  1213
NAND 12ns 1022  954  1214
NOT 9ns 1025  1215
NAND 15ns 1025  958  1216
NOT 12ns 1028  1217
NOT 6ns 959  1218
NOT 9ns 1031  1219
NOT 12ns 1034  1220
NAND 12ns 1034  968  1221
NOT 9ns 965  1222
NOT 6ns 1037  1223
NAND 12ns 1037  972  1224
NOT 9ns 1040  1225
NAND 15ns 1040  976  1226
NOT 12ns 973  1227
NOT 12ns 1043  1228
NAND 9ns 1043  980  1229
NOT 6ns 981  1230
NAND 15ns 981  984  1231
NAND 12ns 1119  1120  1232
NAND 12ns 1121  1122  1235
NOT 12ns 1046  1238
NAND 12ns 1046  997  1239
NOT 6ns 994  1240
NOT 6ns 1049  1241
NAND 9ns 1049  1001  1242
NAND 12ns 1128  1129  1243
NAND 12ns 1130  1131  1246
NAND 15ns 1132  1133  1249
BUFF 21ns 907  1252
BUFF 21ns 907  1255
BUFF 24ns 910  1258
BUFF 21ns 910  1261
NOT 9ns 1150  1264
NAND 12ns 631  1159  1267
NAND 12ns 688  1205  1309
NAND 12ns 691  1207  1310
NAND 12ns 694  1209  1311
NAND 12ns 697  1211  1312
NAND 12ns 700  1213  1313
NAND 15ns 703  1215  1314
NAND 9ns 706  1220  1315
NAND 12ns 709  1223  1316
NAND 12ns 712  1225  1317
NAND 9ns 715  1228  1318
NOT 9ns 1158  1319
NAND 9ns 628  1230  1322
NAND 12ns 730  1238  1327
NAND 15ns 733  1241  1328
NOT 9ns 1162  1334
NAND 9ns 1267  1160  1344
NAND 9ns 1249  894  1345
NOT 12ns 1249  1346
NOT 12ns 1255  1348
NOT 9ns 1252  1349
NOT 12ns 1261  1350
NOT 9ns 1258  1351
NAND 9ns 1309  1206  1352
NAND 12ns 1310  1208  1355
NAND 9ns 1311  1210  1358
NAND 15ns 1312  1212  1361
NAND 12ns 1313  1214  1364
NAND 15ns 1314  1216  1367
NAND 12ns 1315  1221  1370
NAND 12ns 1316  1224  1373
NAND 12ns 1317  1226  1376
NAND 12ns 1318  1229  1379
NAND 15ns 1322  1231  1383
NOT 12ns 1232  1386
NAND 12ns 1232  990  1387
NOT 9ns 1235  1388
NAND 9ns 1235  993  1389
NAND 15ns 1327  1239  1390
NAND 12ns 1328  1242  1393
NOT 12ns 1243  1396
NAND 12ns 1243  1004  1397
NOT 9ns 1246  1398
NAND 9ns 1246  1007  1399
NOT 9ns 1319  1409
NAND 9ns 649  1346  1412
NOT 9ns 1334  1413
BUFF 18ns 1264  1416
BUFF 24ns 1264  1419
NAND 9ns 634  1386  1433
NAND 15ns 637  1388  1434
NAND 15ns 640  1396  1438
NAND 15ns 646  1398  1439
NOT 6ns 1344  1440
NAND 9ns 1355  1148  1443
NOT 9ns 1355  1444
NAND 12ns 1352  1149  1445
NOT 9ns 1352  1446
NAND 12ns 1358  1151  1447
NOT 9ns 1358  1448
NAND 15ns 1361  1152  1451
NOT 9ns 1361  1452
NAND 15ns 1367  1153  1453
NOT 12ns 1367  1454
NAND 12ns 1364  1154  1455
NOT 9ns 1364  1456
NAND 9ns 1373  1156  1457
NOT 6ns 1373  1458
NAND 15ns 1379  1157  1459
NOT 9ns 1379  1460
NOT 12ns 1383  1461
NAND 12ns 1393  1161  1462
NOT 6ns 1393  1463
NAND 15ns 1345  1412  1464
NOT 6ns 1370  1468
NAND 15ns 1370  1222  1469
NOT 9ns 1376  1470
NAND 15ns 1376  1227  1471
NAND 9ns 1387  1433  1472
NOT 6ns 1390  1475
NAND 9ns 1390  1240  1476
NAND 9ns 1389  1434  1478
NAND 12ns 1399  1439  1481
NAND 9ns 1397  1438  1484
NAND 12ns 939  1444  1487
NAND 12ns 935  1446  1488
NAND 9ns 943  1448  1489
NOT 12ns 1419  1490
NOT 9ns 1416  1491
NAND 15ns 947  1452  1492
NAND 15ns 955  1454  1493
NAND 9ns 951  1456  1494
NAND 9ns 969  1458  1495
NAND 9ns 977  1460  1496
NAND 12ns 998  1463  1498
NOT 9ns 1440  1499
NAND 15ns 965  1468  1500
NAND 12ns 973  1470  1501
NAND 9ns 994  1475  1504
NOT 12ns 1464  1510
NAND 9ns 1443  1487  1513
NAND 9ns 1445  1488  1514
NAND 9ns 1447  1489  1517
NAND 15ns 1451  1492  1520
NAND 9ns 1453  1493  1521
NAND 12ns 1455  1494  1522
NAND 12ns 1457  1495  1526
NAND 12ns 1459  1496  1527
NOT 12ns 1472  1528
NAND 15ns 1462  1498  1529
NOT 6ns 1478  1530
NOT 12ns 1481  1531
NOT 6ns 1484  1532
NAND 12ns 1471  1501  1534
NAND 9ns 1469  1500  1537
NAND 12ns 1476  1504  1540
NOT 12ns 1513  1546
NOT 9ns 1521  1554
NOT 12ns 1526  1557
NOT 6ns 1520  1561
NAND 12ns 1484  1531  1567
NAND 12ns 1481  1532  1568
NOT 6ns 1510  1569
NOT 9ns 1527  1571
NOT 9ns 1529  1576
BUFF 21ns 1522  1588
NOT 9ns 1534  1591
NOT 9ns 1537  1593
NAND 15ns 1540  1530  1594
NOT 9ns 1540  1595
NAND 12ns 1567  1568  1596
BUFF 21ns 1517  1600
BUFF 21ns 1517  1603
BUFF 24ns 1522  1606
BUFF 18ns 1522  1609
BUFF 24ns 1514  1612
BUFF 21ns 1514  1615
BUFF 24ns 1557  1620
BUFF 24ns 1554  1623
NOT 9ns 1571  1635
NAND 12ns 1478  1595  1636
NAND 15ns 1576  1569  1638
NOT 12ns 1576  1639
BUFF 24ns 1561  1640
BUFF 21ns 1561  1643
BUFF 21ns 1546  1647
BUFF 18ns 1546  1651
BUFF 24ns 1554  1658
BUFF 24ns 1557  1661
BUFF 18ns 1557  1664
NAND 15ns 1596  893  1671
NOT 12ns 1596  1672
NOT 6ns 1600  1675
NOT 12ns 1603  1677
NAND 9ns 1606  1217  1678
NOT 9ns 1606  1679
NAND 12ns 1609  1219  1680
NOT 6ns 1609  1681
NOT 9ns 1612  1682
NOT 9ns 1615  1683
NAND 12ns 1594  1636  1685
NAND 15ns 1510  1639  1688
BUFF 21ns 1588  1697
BUFF 24ns 1588  1701
NAND 12ns 643  1672  1706
NOT 9ns 1643  1707
NAND 12ns 1647  1675  1708
NOT 9ns 1647  1709
NAND 12ns 1651  1677  1710
NOT 9ns 1651  1711
NAND 12ns 1028  1679  1712
NAND 12ns 1031  1681  1713
BUFF 18ns 1620  1714
BUFF 18ns 1620  1717
NAND 15ns 1658  1593  1720
NOT 12ns 1658  1721
NAND 12ns 1638  1688  1723
NOT 12ns 1661  1727
NOT 6ns 1640  1728
NOT 9ns 1664  1730
BUFF 24ns 1623  1731
BUFF 24ns 1623  1734
NAND 9ns 1685  1528  1740
NOT 9ns 1685  1741
NAND 12ns 1671  1706  1742
NAND 12ns 1600  1709  1746
NAND 12ns 1603  1711  1747
NAND 9ns 1678  1712  1748
NAND 15ns 1680  1713  1751
NAND 12ns 1537  1721  1759
NOT 9ns 1697  1761
NAND 15ns 1697  1727  1762
NOT 9ns 1701  1763
NAND 15ns 1701  1730  1764
NOT 9ns 1717  1768
NAND 9ns 1472  1741  1769
NAND 15ns 1723  1413  1772
NOT 9ns 1723  1773
NAND 12ns 1708  1746  1774
NAND 12ns 1710  1747  1777
NOT 6ns 1731  1783
NAND 9ns 1731  1682  1784
NOT 9ns 1714  1785
NOT 9ns 1734  1786
NAND 12ns 1734  1683  1787
NAND 15ns 1720  1759  1788
NAND 15ns 1661  1761  1791
NAND 12ns 1664  1763  1792
NAND 12ns 1751  1155  1795
NOT 12ns 1751  1796
NAND 15ns 1740  1769  1798
NAND 12ns 1334  1773  1801
NAND 9ns 1742  290  1802
NOT 6ns 1748  1807
NAND 15ns 1748  1218  1808
NAND 12ns 1612  1783  1809
NAND 9ns 1615  1786  1810
NAND 9ns 1791  1762  1812
NAND 12ns 1792  1764  1815
BUFF 21ns 1742  1818
NAND 9ns 1777  1490  1821
NOT 6ns 1777  1822
NAND 12ns 1774  1491  1823
NOT 9ns 1774  1824
NAND 12ns 962  1796  1825
NAND 12ns 1788  1409  1826
NOT 6ns 1788  1827
NAND 12ns 1772  1801  1830
NAND 9ns 959  1807  1837
NAND 12ns 1809  1784  1838
NAND 15ns 1810  1787  1841
NAND 15ns 1419  1822  1848
NAND 15ns 1416  1824  1849
NAND 12ns 1795  1825  1850
NAND 15ns 1319  1827  1852
NAND 15ns 1815  1707  1855
NOT 12ns 1815  1856
NOT 12ns 1818  1857
NAND 12ns 1798  290  1858
NOT 9ns 1812  1864
NAND 15ns 1812  1728  1865
BUFF 21ns 1798  1866
BUFF 24ns 1802  1869
BUFF 21ns 1802  1872
NAND 12ns 1808  1837  1875
NAND 15ns 1821  1848  1878
NAND 9ns 1823  1849  1879
NAND 12ns 1841  1768  1882
NOT 6ns 1841  1883
NAND 12ns 1826  1852  1884
NAND 12ns 1643  1856  1885
NAND 9ns 1830  290  1889
NOT 12ns 1838  1895
NAND 9ns 1838  1785  1896
NAND 15ns 1640  1864  1897
NOT 9ns 1850  1898
BUFF 21ns 1830  1902
NOT 9ns 1878  1910
NAND 9ns 1717  1883  1911
NOT 9ns 1884  1912
NAND 15ns 1855  1885  1913
NOT 12ns 1866  1915
NAND 12ns 1872  919  1919
NOT 9ns 1872  1920
NAND 15ns 1869  920  1921
NOT 9ns 1869  1922
NOT 9ns 1875  1923
NAND 15ns 1714  1895  1924
BUFF 18ns 1858  1927
BUFF 21ns 1858  1930
NAND 15ns 1865  1897  1933
NAND 12ns 1882  1911  1936
NOT 6ns 1898  1937
NOT 9ns 1902  1938
NAND 12ns 679  1920  1941
NAND 9ns 676  1922  1942
BUFF 21ns 1879  1944
NOT 9ns 1913  1947
BUFF 24ns 1889  1950
BUFF 18ns 1889  1953
BUFF 21ns 1879  1958
NAND 15ns 1896  1924  1961
AND 18ns 1910  601  1965
AND 18ns 602  1912  1968
NAND 9ns 1930  917  1975
NOT 6ns 1930  1976
NAND 12ns 1927  918  1977
NOT 9ns 1927  1978
NAND 15ns 1919  1941  1979
NAND 12ns 1921  1942  1980
NOT 12ns 1933  1985
NOT 12ns 1936  1987
NOT 12ns 1944  1999
NAND 9ns 1944  1937  2000
NOT 9ns 1947  2002
NAND 12ns 1947  1499  2003
NAND 12ns 1953  1350  2004
NOT 9ns 1953  2005
NAND 12ns 1950  1351  2006
NOT 12ns 1950  2007
NAND 15ns 673  1976  2008
NAND 15ns 670  1978  2009
NOT 12ns 1979  2012
NOT 12ns 1958  2013
NAND 9ns 1958  1923  2014
NOT 9ns 1961  2015
NAND 12ns 1961  1635  2016
NOT 6ns 1965  2018
NOT 9ns 1968  2019
NAND 12ns 1898  1999  2020
NOT 9ns 1987  2021
NAND 9ns 1987  1591  2022
NAND 9ns 1440  2002  2023
NAND 15ns 1261  2005  2024
NAND 9ns 1258  2007  2025
NAND 12ns 1975  2008  2026
NAND 9ns 1977  2009  2027
NOT 12ns 1980  2030
BUFF 21ns 1980  2033
NAND 12ns 1875  2013  2036
NAND 15ns 1571  2015  2037
NAND 15ns 2020  2000  2038
NAND 12ns 1534  2021  2039
NAND 9ns 2023  2003  2040
NAND 12ns 2004  2024  2041
NAND 12ns 2006  2025  2042
NOT 9ns 2026  2047
NAND 9ns 2036  2014  2052
NAND 12ns 2037  2016  2055
NOT 12ns 2038  2060
NAND 15ns 2039  2022  2061
NAND 12ns 2040  290  2062
NOT 6ns 2041  2067
NOT 12ns 2027  2068
BUFF 21ns 2027  2071
NOT 9ns 2052  2076
NOT 9ns 2055  2077
NAND 9ns 2060  290  2078
NAND 12ns 2061  290  2081
NOT 12ns 2042  2086
BUFF 18ns 2042  2089
AND 21ns 2030  2068  2104
AND 21ns 2033  2068  2119
AND 18ns 2030  2071  2129
AND 21ns 2033  2071  2143
BUFF 21ns 2062  2148
BUFF 18ns 2062  2151
BUFF 18ns 2078  2196
BUFF 18ns 2078  2199
BUFF 24ns 2081  2202
BUFF 18ns 2081  2205
NAND 12ns 2151  915  2214
NOT 9ns 2151  2215
NAND 12ns 2148  916  2216
NOT 9ns 2148  2217
NAND 9ns 2199  1348  2222
NOT 12ns 2199  2223
NAND 15ns 2196  1349  2224
NOT 9ns 2196  2225
NAND 15ns 2205  913  2226
NOT 9ns 2205  2227
NAND 12ns 2202  914  2228
NOT 9ns 2202  2229
NAND 9ns 667  2215  2230
NAND 12ns 664  2217  2231
NAND 9ns 1255  2223  2232
NAND 12ns 1252  2225  2233
NAND 15ns 661  2227  2234
NAND 9ns 658  2229  2235
NAND 12ns 2214  2230  2236
NAND 12ns 2216  2231  2237
NAND 9ns 2222  2232  2240
NAND 12ns 2224  2233  2241
NAND 15ns 2226  2234  2244
NAND 12ns 2228  2235  2245
NOT 9ns 2236  2250
NOT 12ns 2240  2253
NOT 12ns 2244  2256
NOT 6ns 2237  2257
BUFF 18ns 2237  2260
NOT 12ns 2241  2263
AND 24ns 1164  2241  2266
NOT 9ns 2245  2269
AND 21ns 1168  2245  2272
NAND8 78ns 2067  2012  2047  2250  899  2256  2253  903  2279
BUFF 21ns 2266  2286
BUFF 21ns 2266  2297
BUFF 21ns 2272  2315
BUFF 21ns 2272  2326
AND 24ns 2086  2257  2340
AND 24ns 2089  2257  2353
AND 24ns 2086  2260  2361
AND 21ns 2089  2260  2375
AND4 42ns 338  2279  313  313  2384
AND 21ns 1163  2263  2385
AND 21ns 1164  2263  2386
AND 21ns 1167  2269  2426
AND 24ns 1168  2269  2427
NAND5 69ns 2286  2315  2361  2104  1171  2537
NAND5 78ns 2286  2315  2340  2129  1171  2540
NAND5 66ns 2286  2315  2340  2119  1171  2543
NAND5 69ns 2286  2315  2353  2104  1171  2546
NAND5 72ns 2297  2315  2375  2119  1188  2549
NAND5 72ns 2297  2326  2361  2143  1188  2552
NAND5 63ns 2297  2326  2375  2129  1188  2555
AND5 57ns 2286  2315  2361  2104  1171  2558
AND5 72ns 2286  2315  2340  2129  1171  2561
AND5 63ns 2286  2315  2340  2119  1171  2564
AND5 63ns 2286  2315  2353  2104  1171  2567
AND5 60ns 2297  2315  2375  2119  1188  2570
AND5 63ns 2297  2326  2361  2143  1188  2573
AND5 42ns 2297  2326  2375  2129  1188  2576
NAND5 78ns 2286  2427  2361  2129  1171  2594
NAND5 60ns 2297  2427  2361  2119  1171  2597
NAND5 66ns 2297  2427  2375  2104  1171  2600
NAND5 78ns 2297  2427  2340  2143  1171  2603
NAND5 78ns 2297  2427  2353  2129  1188  2606
NAND5 72ns 2386  2326  2361  2129  1188  2611
NAND5 69ns 2386  2326  2361  2119  1188  2614
NAND5 66ns 2386  2326  2375  2104  1188  2617
NAND5 69ns 2386  2326  2353  2129  1188  2620
NAND5 69ns 2297  2427  2340  2104  926  2627
NAND5 81ns 2386  2326  2340  2104  926  2628
NAND5 69ns 2386  2427  2361  2104  926  2629
NAND5 66ns 2386  2427  2340  2129  926  2630
NAND5 78ns 2386  2427  2340  2119  926  2631
NAND5 69ns 2386  2427  2353  2104  926  2632
NAND5 78ns 2386  2426  2340  2104  926  2633
NAND5 54ns 2385  2427  2340  2104  926  2634
AND5 75ns 2286  2427  2361  2129  1171  2639
AND5 63ns 2297  2427  2361  2119  1171  2642
AND5 54ns 2297  2427  2375  2104  1171  2645
AND5 66ns 2297  2427  2340  2143  1171  2648
AND5 63ns 2297  2427  2353  2129  1188  2651
AND5 63ns 2386  2326  2361  2129  1188  2655
AND5 60ns 2386  2326  2361  2119  1188  2658
AND5 69ns 2386  2326  2375  2104  1188  2661
AND5 66ns 2386  2326  2353  2129  1188  2664
NAND 12ns 2558  534  2669
NOT 9ns 2558  2670
NAND 12ns 2561  535  2671
NOT 6ns 2561  2672
NAND 9ns 2564  536  2673
NOT 9ns 2564  2674
NAND 12ns 2567  537  2675
NOT 9ns 2567  2676
NAND 15ns 2570  543  2682
NOT 9ns 2570  2683
NAND 12ns 2573  548  2688
NOT 9ns 2573  2689
NAND 9ns 2576  549  2690
NOT 12ns 2576  2691
AND8 78ns 2627  2628  2629  2630  2631  2632  2633  2634  2710
NAND 12ns 343  2670  2720
NAND 15ns 346  2672  2721
NAND 12ns 349  2674  2722
NAND 9ns 352  2676  2723
NAND 9ns 2639  538  2724
NOT 9ns 2639  2725
NAND 15ns 2642  539  2726
NOT 6ns 2642  2727
NAND 12ns 2645  540  2728
NOT 9ns 2645  2729
NAND 9ns 2648  541  2730
NOT 9ns 2648  2731
NAND 12ns 2651  542  2732
NOT 9ns 2651  2733
NAND 12ns 370  2683  2734
NAND 12ns 2655  544  2735
NOT 6ns 2655  2736
NAND 15ns 2658  545  2737
NOT 12ns 2658  2738
NAND 12ns 2661  546  2739
NOT 9ns 2661  2740
NAND 15ns 2664  547  2741
NOT 9ns 2664  2742
NAND 12ns 385  2689  2743
NAND 12ns 388  2691  2744
NAND8 63ns 2537  2540  2543  2546  2594  2597  2600  2603  2745
NAND8 69ns 2606  2549  2611  2614  2617  2620  2552  2555  2746
AND8 63ns 2537  2540  2543  2546  2594  2597  2600  2603  2747
AND8 66ns 2606  2549  2611  2614  2617  2620  2552  2555  2750
NAND 12ns 2669  2720  2753
NAND 12ns 2671  2721  2754
NAND 12ns 2673  2722  2755
NAND 12ns 2675  2723  2756
NAND 12ns 355  2725  2757
NAND 15ns 358  2727  2758
NAND 9ns 361  2729  2759
NAND 15ns 364  2731  2760
NAND 12ns 367  2733  2761
NAND 12ns 2682  2734  2762
NAND 15ns 373  2736  2763
NAND 12ns 376  2738  2764
NAND 9ns 379  2740  2765
NAND 15ns 382  2742  2766
NAND 15ns 2688  2743  2767
NAND 15ns 2690  2744  2768
AND 18ns 2745  275  2773
AND 24ns 2746  276  2776
NAND 15ns 2724  2757  2779
NAND 12ns 2726  2758  2780
NAND 12ns 2728  2759  2781
NAND 12ns 2730  2760  2782
NAND 12ns 2732  2761  2783
NAND 12ns 2735  2763  2784
NAND 9ns 2737  2764  2785
NAND 15ns 2739  2765  2786
NAND 9ns 2741  2766  2787
AND3 36ns 2747  2750  2710  2788
NAND 12ns 2747  2750  2789
AND4 36ns 338  2279  99  2788  2800
NAND 12ns 2773  2018  2807
NOT 9ns 2773  2808
NAND 15ns 2776  2019  2809
NOT 9ns 2776  2810
NOR 24ns 2384  2800  2811
AND3 45ns 897  283  2789  2812
AND3 48ns 76  283  2789  2815
AND3 48ns 82  283  2789  2818
AND3 42ns 85  283  2789  2821
AND3 48ns 898  283  2789  2824
NAND 12ns 1965  2808  2827
NAND 15ns 1968  2810  2828
AND3 39ns 79  283  2789  2829
NAND 15ns 2807  2827  2843
NAND 12ns 2809  2828  2846
NAND 9ns 2812  2076  2850
NAND 15ns 2815  2077  2851
NAND 9ns 2818  1915  2852
NAND 15ns 2821  1857  2853
NAND 15ns 2824  1938  2854
NOT 9ns 2812  2857
NOT 9ns 2815  2858
NOT 6ns 2818  2859
NOT 9ns 2821  2860
NOT 9ns 2824  2861
NOT 9ns 2829  2862
NAND 12ns 2829  1985  2863
NAND 9ns 2052  2857  2866
NAND 12ns 2055  2858  2867
NAND 9ns 1866  2859  2868
NAND 9ns 1818  2860  2869
NAND 12ns 1902  2861  2870
NAND 9ns 2843  886  2871
NOT 12ns 2843  2872
NAND 15ns 2846  887  2873
NOT 9ns 2846  2874
NAND 12ns 1933  2862  2875
NAND 9ns 2866  2850  2876
